Year,Private_Sector_Credit_Pct_GDP
2000,8.2183570449906
2001,9.84312371261094
2002,8.07003610675659
2003,8.89691186070258
2004,8.45101096724353
2005,8.42529934635831
2006,8.11102618672372
2007,13.3880462358893
2008,18.5731484556703
2009,19.6035290482689
2010,13.4593956866255
2011,11.0321388749083
2012,10.5894517057846
2013,11.5244272791479
2014,13.2902122441457
2015,13.0669467976253
2016,14.5972057210104
2017,12.7772705336796
2018,10.1795116287926
2019,7.40708693668531
2020,8.10702599717608
2021,8.82716232603832
2022,9.52631461885587
2023,13.1286567689108
